w,e,0.614
e,r,0.848
r,f,0.898
f,d,1.018
d,c,0.661
c,b,0.634
b,v,0.597
v,s,0.780
s,q,0.915
q,t,0.983
t,y,0.830
y,u,0.599
u,m,0.635
m,b,1.389
b,c,0.632
